eng,hin
The police were patrolling the street.,पुलिस ने सड़क पर पहरा लगा दिया था।
The population is increasing.,आबादी बढ़ रही है।
The population is increasing.,जनसंख्या बढ़ रही है।
The population of China is larger than that of India.,चीन की जनसंख्या भारत की से बड़ी है।
The President proposed a new plan.,राष्ट्रपति ने एक नयी योजना प्रस्थापित की।
The Prime Minister resigned yesterday.,प्रधानमंत्री ने कल इस्तीफ दिया।
The Prime Minister resigned yesterday.,प्रधानमंत्री ने कल इस्तीफ़ा दे दिया।
The pulao with meat is eight yuan. The vegetarian pulao is only four yuan.,मांस वाला पुलाव आठ युएन का है। बिना मांस वाला पुलाव केवल चार युएन का है।
The purest affection the heart can hold is the honest love of a nine-year-old.,मन जो स्नेह संजो सकता है उन में से सबसे पवित्र है किसी नौ वर्षीय का निश्छल प्रेम।
The question was much discussed.,इस सवाल पर बहुत बात-चीत हुई थी।
The radio is powered off.,रेडियो बंद है।
"The rain hasn't stopped yet, has it?","बारिश अभी तक रुकी नहीं है, है ना?"
The rain prevented me from coming.,मैं बारिश की वजह से आ नहीं पाया।
There are a lot of flowers in the garden.,बगीचे में बहुत सारे फूल हैं।
There are a lot of horses in my neighbourhood.,मेरे मोहल्ले में बहुत सारे लोग हैं।
There are a lot of mistakes in this translation.,इस अनुवाद में बहुत सारी गलतियाँ हैं।
There are billions of stars in the sky.,आकाश में कई अरब सितारे हैं।
"There are few, if any, such men.",ऐसे लोग कम ही होंगे।
There are fifty members in this club.,इस क्लब में पचास सदस्य हैं।
There are fish in the sea.,समुंदर में मछलियां हैं।
There are fish in the sea.,समुंदर में मछलियां होती हैं।
There are four seasons in this country.,इस देश में चार मौसम हैं।
There are lots of things for us to think about.,हमारे पास सोचने के लिए बहुत सारी बातें हैं।
There are many cockroaches in the kitchen.,रसोई में कई सारे तिलचट्टे हैं।
There are many examples of beauty.,सुंदरता के कई उदाहरण हैं।
There are many examples of beauty.,सुंदरता के कई उदाहरण होते हैं।
There are many old temples in Kyoto.,क्योटो में बहुत सारे पुराने मंदिर हैं।
There are many Roman statues in the next room.,अगले कमरे में अनेक रोमन मूर्तियाँ हैं।
There are more clouds today than yesterday.,आज बादल कल से ज़्यादा हैं।
There are no houses around here.,यहां आसपास कोई घरें नहीं है।
There are no towels in room 15.,कमरा नम्बर पंद्राह में तौलिये नहीं हैं।
There are three of us.,हम तीन हैं।
There are two cows in the village.,गाँव में दो गाएँ हैं।
The reason why you failed is you did not try hard enough.,तुम नाकामयाब इसलिए रहे क्योंकि तुमने पूरी तरह मेहनत नहीं लगाई।
There can never be peace without justice.,बिना न्याय के शांति नहीं हो सकती है।
The region called Azad Kashmir in Pakistan is called Pakistan-Occupied Kashmir in India.,"जिस प्रदेश को पाकिस्तान में आज़ाद कश्मीर कहाँ जाता है, उसे भारत में ""पाकिस्तान व्याप्त कश्मीर"" कहाँ जाता है।"
There has never been an age that did not applaud the past and lament the present.,ऐसा कोई युग कभी नहीं रहा जिस में अतीत का गुणगान और वर्तमान पर विलाप न किया गया हो।
There is a border between America and Mexico.,अमरीका और मेक्सिको के बीच एक सीमा है।
There is a bottle in the fridge.,फ्रिज में एक बोतल है।
There is a cat under the desk.,मेज़ के नीचे एक बिल्ली है।
There is a concert next sunday.,अगले रविवार कॉन्सर्ट है।
There is a crowd of women around Tom.,टॉम के भीतर औरतों की भीड़ है।
There is a crowd of women around Tom.,टॉम के भीतर औरतों की भीड़ होती है।
There is a doll in the box.,बक्से में एक गुड़िया है।
There is a doll in the box.,बक्से में एक गुड़िया होती है।
There is a garden behind my house.,मेरे घर के पीछे एक बगीचा है।
There is a gold coin.,सोने का सिक्का है।
There is a limit to how much one can tolerate.,बर्दाश्त की भी हद होती है।
There is no doubt.,इसमें कोई शक नहीं है।
There is no more room for a TV set.,टीवी सेट के लिए और जगह नहीं है।
There is no point in studying if you are feeling tired.,अगर थक गए हो तो पढ़ाई करने से कोई फ़ायदा नहीं है।
There is one thing I want to ask.,मुझे एक बात पूछनी है।
There's a cat there.,वहाँ एक बिल्ला है।
There's an apple in this boy's pocket.,इस लड़के के जेब में एक सेव है।
There's a possibility of war.,युद्ध की संभावना है।
There's a pub just around the corner.,बस उस कोने के आगे ही एक मदिरालय है।
There's a secret path on the left.,बाईं ओर को एक गुप्त रास्ता है।
There's blood in the water.,पानी में खून है।
The residents of Mumbai are called Mumbaikars.,मुम्बई के निवासियों को मुम्बईकर कहते हैं।
There's no one there.,वहाँ कोई नहीं है।
There's nothing left to lose.,गंवाने के लिए कुछ भी बचा नहीं है।
There's only one door.,बस एक ही दरवाज़ा है।
There's something under my bed.,मेरे बिस्तर के नीचे कुछ है।
There's the island of my dreams!,वह रहा मेरे सपनों का द्वीप!
There used to be a hut about here.,यहाँ आसपास में एक झोपड़ी हुआ करती थी।
The revolution has its own laws.,क्रांति के अपने ही नियम होते है।
There was a financial crisis in 2009.,२००९ में एक वित्तीय संकट हुई थी।
There was a man who had three sons.,एक आदमी था जिसके तीन बेटे थे।
There was another guy with her.,उसके साथ और एक बंदा था।
There was enough food for forty days.,चालीस दिनों के लिये काफ़ी खाना था।
There was enough food for forty days.,चालीस दिनों के लिये काफ़ी भोजन था।
There was no one in the room.,कमरे में कोई नहीं था।
There was no one there.,वहाँ कोई नहीं था।
There wasn't anybody in that room.,कमरे में कोई भी नहीं था।
There were a lot of men among the inhabitants.,वस्नीकों में काफी तादाद में मर्द थे.
There were two cakes. I ate one and then I ate the other.,दो केक थे। मैंने एक खाया और फिर मैंने दूसरा खाया।
There were two murders this month.,इस महीने दो हत्याएँ हुईं हैं।
The rich are not always happier than the poor.,अमीर हमेशा गरीबों से ज़्यादा ख़ुश नहीं होते।
The road is parallel to the river.,वह सड़क नदी के साथ साथ चलती है।
The road stays straight for the next 50 miles.,रास्ता अगले ५० मैल सीधा ही रहेगा।
The room smelled of tobacco.,कमरे में तम्बाकू की महक थी।
The rumor is true to some extent.,वह अफ़वाह किसी हद तक सच है।
The rumor proved to be an absolute lie.,वह अफ़वाह एकदम झूठी निकली।
The rumor spread throughout the country.,अफवाह पूरे देश में फैल गयी।
The rumor turned out false.,वह अफ़वाह झूठी निकली।
The rumor turned out to be true.,वह अफ़वाह सच निकली।
The rumor turned out true.,अफ़वा सच निकली।
The Sahara is the largest desert in the world.,सहारा दुनिया का सबसे बड़ा रेगिस्तान है।
These are good questions.,ये अच्छे सवाल हैं।
These are the people who saw the explosion.,ये वे लोग है जिन्होंने वह विस्फोट देखा।
These are the rules; act accordingly.,ये नियम हैं। इनके मुताबिक कम करिए।
These are very old books.,ये किताबें काफ़ी पुरानी हैं।
"The secret to staying young is to live honestly, eat slowly, and lie about your age.","युवा बने रहने का रहस्य है ईमानदारी से जीना, धीरे धीरे खाना और अपनी उम्र जाहिर न करना।"
These dogs are big.,ये कुत्ते बड़े हैं।
These questions are easy to answer.,ये प्रश्न सरल हैं।
These shoes are hers.,यह जूते उसके हैं।
These students are the crème de la crème of our school.,ये हमारे विद्यालय के सबसे उत्कृष्ट विद्यार्थी हैं।
"These texts were written in Hebrew, not in Aramaic.","यह पाठ्य इब्रानी में लिखे थे, आरामाईक में नहीं।"
The seventh day of the week is Saturday.,हफ़्ते का सातवा दिन शनिवार है।
The sheets feel damp.,चादरें गीलीं लगतीं हैं।
The ship is at sea for India.,जहाज़ समुंदर में है और भारत के लिए रवाना है।
The Sikh Empire was established in 1799 by Ranjit Singh.,सिख साम्राज्य १७९९ में रणजीत सिंह ने स्थापित किया था।
The skies are clear.,आसमान साफ़ है।
The sky clouded over.,आसमान बादल-बादल हो गया।
The sky is above the earth.,धरती के ऊपर आकाश है।
The sky is blue.,आकाश नीला है।
The sky is blue.,आकाश नीला होता है।
The sky was red.,आकाश लाल था।
The soldier ran.,सैनिक भागा।
The soldiers had more powerful weapons.,सैनिकों के पास अधिक ताकतवर हथियार थे।
The solution of the puzzle required no time.,पहेली को सुलझाने में बिलकुल भी समय नहीं लगा।
"The sooner, the better.",जितना जल्दी उतना अच्छा।
The soul is eternal.,आत्मा अनन्त है।
The speed of the spread of AIDS is horrifyingly fast.,एड्स के फैलाव की तेज़ गति बहुत भयानक है।
The stars are glittering above.,तारे ऊपर चमक रहें हैं।
The station is located between these two towns.,स्टेशन इन दो नगरों के बीच स्थित है।
The store is not open today.,दुकान आज खुली नहीं है।
The store is not open today.,दुकान आज बंद है।
The store will be closed tomorrow.,दुकान कल बंद रहेगा।
The store will be closed tomorrow.,दुकान कल बंद हो जायेगा।
The storm destroyed the whole town.,तूफ़ान ने पूरे नगर को नष्ट कर दिया।
The storm did great harm to the crop.,तूफ़ान ने फ़सल को बहुत नुक्सान पहुँचाया।
The strikers called off the strike of their own accord.,हड़ताल करने वालों ने अपने-आप ही हड़ताल बंद कर दी।
The student ended up sleeping in the classroom.,वह छात्र कक्षा में ही सो गया।
The student ended up sleeping in the classroom.,वो स्टूडेंट क्लास में ही सो गया।
The students assisted the professor in the investigation.,छात्रों ने प्रोफेसर की तहकीकात में सहायता करी।
The sun came out.,सूरज बाहर आया।
The sun is in the sky.,सूरज आकाश में है।
The sun is much larger than the moon.,सूरज चांद से बहुत ज़्यादा बड़ा है।
The sun is red.,सूरज लाल है।
The sun of the east shall rise in the west.,पूरब का सूरज पश्चिम में उगेगा।
The sun will become a red giant in about 5 billion years.,५ अरब सालों में सूर्य एक लाल दानव तारा बन जाएगा।
The swing is moving up and down.,झूला ऊपर नीचे हो रहा है।
The Swiss keyboard doesn't have a ß.,स्वीस कीबोर्ड पर ß नहीं होता।
"The Taj Mahal is a mausoleum located in Agra, India.",ताज महल भारत के आगरा शहर में स्थित एक मक़बरा है।
The Taj Mahal is one of the seven wonders of the world.,ताज महल विश्व के सात आश्चर्यों में से एक है।
"The teacher said, ""That's all for today.""","टीचर ने कहा, ""बस आज के लिए इतना ही।"""
The thief admitted his crime.,चोर ने अपना जुर्म कबूल किया।
The thief broke the window.,चोरनी ने खिडकी तोड़ी।
The thief cursed the police for finding him.,चोर ने पुलिस को उसको पकड़ने के लिए गाली दी।
"The three major monotheistic religions are Christianity, Islam and Judaism.","ईसाई धर्म, इस्लाम और यहुदी धर्म ये तीन प्रमुख एकेश्वरवादी धर्म हैं।"
The tiger laid in the middle of the cage.,बाघ पिंजरे के बीचों-बीच पड़ा हुआ था।
The tiger licked him.,बाघ ने उसे चाटा।
The town lay buried for centuries.,वह नगर सदियों तक दफ़न रहा।
The town was established in the 18th century.,यह नगर १८वे शतक में स्थापित किया गया था।
The train came to a smooth stop.,ट्रेन हल्के से आकर रुकी।
The train has arrived.,रेलगाड़ी आई है।
The train is coming.,ट्रेन आ रही है।
The trees are green.,पेड़ हरे हैं।
The trouble is that they have no time.,मुश्किल यह है कि उनके पास समय नहीं है।
The tsar was the ruler of Russia.,ज़ार रूस का शासक था।
"The twelve signs of the Zodiac are: Aries, Taurus, Gemini, Cancer, Leo, Virgo, Libra, Scorpio, Sagittarius, Capricorn, Aquarius and Pisces.","राशिचक्र की बारह राशियाँ हैं: मेष, वृषभ, मिथुन, कर्क, सिंह, कन्या, तुला, वृश्चिक, धनु, मकर, कुम्भ और मीन।"
The two languages have a lot in common.,इन दो भाषाओं में बहुत सारी समानताएं हैं।
The two mountains are of equal height.,दोनों पहाड़ों की उंचाई एक सामान है।
The two of you are watching.,आप दोनों देख रहे हैं।
The two of you are watching.,तुम दोनों देख रही हो।
The two of you are watching.,तुम दोनों देख रहे हो।
The Umayyad armies invaded Spain in 711.,उमय्यद सेनाओं ने ७११ में स्पेन पर आक्रमण किया।
The unwise statement by the government caused prices to rise again.,सर्कार के इस निर्बोध बयान से दाम फिर से बढ़ने लगे।
The urban population of America is increasing.,अमरीका की शहरी लोकसंख्या बढ़ रही है।
The vase was broken to pieces.,गुलदान टूट कर चूर-चूर हो गया।
The Vedas were written in Sanskrit.,वेद संस्कृत में लिखे गए थे।
The village has no electricity.,गाँव में बिजली नहीं है।
The villagers regarded the stranger as their enemy.,गांववालें अजनबी को अपना दुश्मन मानते थे।
The villagers regarded the stranger as their enemy.,ग्रामवासी अजनबी को अपना शत्रु मानते थे।
The voyage from England to India used to take 6 months.,इंग्लैड से भारत तक का सफ़र छः महीनों का हुआ करता था।
The war is going in our favor.,जंग हमारे हित में जा रहा है।
The war wasted the country.,जंग ने देश को नष्ट कर डाला।
The water was cold.,पानी ठंडा था।
"The way I see it, if you want the rainbow, you gotta put up with the rain.","मेरे विचार से यदि आप इन्द्रधनुष चाहते हैं, तो आपको वर्षा को सहना होगा।"
The weather varies from day to day.,मौसम दिन-ब-दिन बदलता है।
The white ball weighs as much as the red ball.,सफ़ेद गेंद का वज़न लाल गेंद जितना ही है।
The wind carries seeds for great distances.,हवा बीजों को दूर-दूर तक लेजाती है।
The window was open.,खिड़की खुली थी।
The wind scattered the leaves about.,हवा ने पत्तियों को यहाँ-वहाँ बिखेर दिया।
The woman is naked.,वह महिला नंगी है।
The women of France are beautiful.,फ़्रांस की औरतें खूबसूरत हैं।
The women of France are beautiful.,फ़्रांस की महिलाये खूबसूरत हैं।
The world is changing more and more quickly.,दुनिया और-भी-और तेज़ी से बदल रही है।
The world population reached one billion for the first time in 1804.,दुनिया की लोकसंख्या १८०४ में पहली बार एक अरब तक पहुँच गयी।
They abandoned the sinking ship.,उन्होंने डूबते हुए जहाज़ को छोड़ दिया।
They abandoned the sinking ship.,वे डूबते हुए जहाज़ से निकल गए।
They adopted the orphan.,उन्होंने अनाथ बच्चे को गोद ले लिया।
They are in favor of the reform of the tax laws.,वे टैक्स सुधार क़ानून के पक्ष में हैं।
"They are not enemies, but friends.",वे शत्रु नहीं बल्कि मित्र हैं।
They are proud of their clever son.,उन्हे अपने अकलमंद बेटे पर नाज़ है।
They are reading her book.,वे उनका किताब पढ़ रहे हैं।
They are reading her book.,वे उसका किताब पढ़ रहे हैं।
They are reading their book.,वे अपनी किताब पढ़ रहे हैं।
They are Russian.,वे रूसी हैं।
They are very important.,वे बहुत महत्त्वपूर्ण हैं।
They are watching.,वे देख रहीं हैं।
They are watching.,वे देख रहे हैं।
They became friends in elementary school.,वे प्रारम्भिक पाठशाला में दोस्त बने।
They booted him out of school for not studying.,"कयोंकि वह पढ़ाई नहीं करता था, उसे स्कूल से निकाल दिया गया।"
They both are teachers.,दोनों अध्यापक हैं।
They both laughed again.,वे दोनों फिर से हसें।
They brought trouble on themselves.,उन्होंने अपने ऊपर मुसीबत बुलाई।
They buried her dead husband.,उन्होंने उसके मरे हुए पति को दफनाया।
They called.,उन्होंने बुलाया।
They can't see you.,वे तुम्हें देख नहीं सकते।
They can understand me.,वे मुझे समझ पाते हैं।
They can understand me.,वे मेरी बात को समझते हैं।
They contacted their local politicians.,उन्होंने अपने स्थानिक नेताओं से संपर्क किया।
They convinced me.,उन्होंने मुझे विश्वास दिलाया।
They defended their country against the invaders.,उन्होंने अपने देश का आक्रमकों से संरक्षण किया।
They didn't run.,वे नहीं भागे।
They dug here and there for treasure.,उन्होंने ख़ज़ाना ढूँढने के लिए यहाँ-वहाँ खोदा।
They eat meat.,वे मांस खाते हैं।
They eat.,वे खाते हैं।
"They fined him 5,000 yen for illegal parking.",उन्होंने उसपर गाड़ी ग़लत खड़ी करने के लिए पाँच हज़ार येन का जुर्माना लगाया।
They fought in the cause of justice.,वे इंसाफ के निमित्त से लड़े।
They found this.,उन्हें यह मिला।
They furnished the library with many books.,उन्होंने पुस्तकालय को बहुत सारी किताबें दीं।
They have a different opinion regarding your problem.,आपकी समस्या के बारे में उनकी कुछ और राय है।
They have a different opinion regarding your problem.,तुम्हारी समस्या के बारे में उनकी कुछ और राय है।
They have black hair.,उनके बाल काले हैं।
They have full confidence in their leader.,उन्हें अपने लीडर पर पूरा भरोसा है।
They have gone to Europe.,वे युरोप गये हैं।
They have no house to live in.,उनके पास रहने के लिए कोई घर नहीं है।
They have tea at five.,वे पाँच बजे चाय पीते हैं।
They heard a gun go off in the distance.,उनको दूर से बंदूक की आवाज़ सुनाई दी।
They kept running.,वे भागते रहे।
They know you.,वे तुम्हें जानते हैं।
They lived a couple of years in Spain.,वे दो साल स्पेन में रहें।
They lived in Spain for several years.,वे कई साल स्पेन में रहें।
"They looked at the rubbish, then they looked at each other.","उन्होंने पहले कचरे की तरफ, और फिर एक दुसरे की तरफ देखा."
They looked on her behavior as childish.,उनकी आँखों में उसका बर्ताव बच्चे जैसा था।
They made fun of Mary.,उन्होंने मेरी का मज़ाक उड़ाया।
They missed the train.,उनकी ट्रेन छूट गई।
They obtained a yield of 8 percent on their investment.,उनके इनवेस्टमेंट पर ८ प्रतिशत का फ़ायदा हुआ।
They opened the door.,उन्होंने दरवाज़ा खोला।
They're afraid of us.,वे हम से डरते हैं।
They're all hungry.,वे सब के सब भूखे हैं।
They're all watching us.,उन सब की हम पर नज़र है।
They're all watching us.,वे सब हमें देख रहे हैं।
They're bad.,वे बुरे हैं।
They're both older than you.,वे दोनों तुमसे उम्र में बड़े हैं।
They're fighting.,वे झगड़ रहे हैं।
They're green.,वे हरी हैं।
They're green.,वे हरे हैं।
They're in math class.,वे गणित के क्लास में है।
They released all the prisoners.,उन्होंने सभी कैदीयों को आज़ाद कर दिया है।
They're lying to us.,वे हम से झूठ बोल रहे हैं।
They're not moving.,वे हिल नहीं रहे।
They're not soldiers.,वे सैनिक नहीं हैं।
They're reading his book.,वे उनका किताब पढ़ रहे हैं।
They're Russian.,वे रूसी हैं।
They're using you.,वे तुम्हारा इस्तेमाल कर रहे हैं।
They're waiting for us.,वे हमारी प्रतिक्षा कर रहे हैं।
They're waiting for us.,वे हमारे लिये रुके हैं।
They saw Tom.,उन्होंने टॉम को देखा।
They say it's going to rain tonight.,कहते हैं आज रात बारिश होने वाली है।
They say that golf is very popular in Japan.,कहाँ जाता है कि जापान में गोल्फ़ बहुत लोकप्रिय है।
They seem so happy.,वे कितने खुश लगते हैं।
They seem to trust you.,लगता है वे तुम पर भरोसा करते हैं।
They sell land by the acre.,वे ज़मीन एकड़ों में बेचतें हैं।
They shot him.,उन्होंने उसे गोली मारी।
They shouted for help.,उन्होंने मदद के लिए चिल्लाया।
They speak English in Australia.,ऑस्ट्रेलिया में अंग्रेजी बोलते हैं।
They speak many languages in Spain.,स्पेन में कई भाषाएं बोली जाती हैं।
They speak Spanish in Mexico.,मेक्सिको में स्पेनिश बोली जाती है।
They stood face to face.,वे आमने-सामने खड़े हुए।
"They succeeded in reaching the mountain summit, but had an accident when coming back down.","वे पर्वत शिखर तक पहुँचने में सफ़ल रहे, पर लौट कर नीचे आने के समय दुर्घटना हो गई।"
They translated the novel from Russian into Armenian.,उन्होंने वह उपन्यास का रूसी से आर्मीनियाई में भाषांतर किया।
They've seen Tom.,उन्होंने टॉम को देखा है।
They wanted to get married as soon as they could.,वे जल्द-से-जल्द शादी करना चाहते थे।
They want to talk.,वे बात करना चाहते हैं।
They went on talking for hours.,उन्होंने और कुछ घंटों के लिए बातचीत करी।
They went out of sight at last.,वे आखिरकार नज़र से बाहर निकल गए।
They went to the zoo.,वे ज़ू गए थे।
They were about to leave when I arrived there.,"जब मैं वहाँ पहुँचा, वे जाने वाले थे।"
They were afraid of you.,उन्हें तुमसे डर लगता था।
They were just soldiers.,वे तो बस सैनिक थे।
They were soldiers.,वे सैनिक थे।
They will be very glad.,वे बहुत प्रसन्न होंगे।
They will fall in love with each other.,उन्हें एक-दूसरे से प्यार हो जाएगा।
They will get married next month.,उनकी शादी अगले महीने होगी।
They will kill me.,वे लोग मुझे मार डालेंगे।
They won't believe me even if I swear it is true.,वे मेरा विश्वास नहीं करेंगे चाहे मैं कसम भी क्यों न खालूँ।
They worked hard from morning till night.,वे सुबह से ले कर रात तक कड़ी मेहनत करते थे।
Thirty-thousand people were killed.,तीस हजार लोग मारे गये।
"This accident has nothing to do with me, officer.","इस दुर्घटना का मुझसे कोई वास्ता नहीं है, ऑफिसर।"
This animal is dangerous.,यह जानवर खतरनाक होता है।
"This apple tastes sour, doesn't it?",यह सेव खट्टा है ना?
This bird lives neither in Japan nor in China.,यह पक्षी न तो जापान में रहता है न चीन में।
This book is about China.,यह पुस्तक चीन के बारे में है।
This book is Ali's.,यह किताब अली की है।
This book is older than that one.,यह किताब उस किताब से पुरानी है।
This boy is his son.,यह लड़का उसका बेटा है।
This boy never lies.,यह लड़का कभी भी झूठ नहीं बोलता।
"This cake contains flour, milk, eggs and sugar.","इस केक में आटा, दूध, अंडे और शक्कर है।"
This car isn't worth repairing.,यह कार मुरम्मत करवाने योग्य नहीं है.
This car was made in Japan.,यह गाड़ी जापान में बनी थी।
This chair is yours.,यह कुर्सी तुम्हारी है।
This computer has a Pentium processor.,इस कंप्यूटर में एक पेंटियम प्रोसेसर है।
This country needs a new president.,इस देश को एक नये राष्ट्रपति की ज़रूरत है।
This desk is made of wood.,यह मेज़ लकड़ी की बनी है।
This doesn't mean anything.,इसका कोई मतलब नही।
This dog is gay.,यह कुत्ता गे है।
This feels like silk.,यह रेशम जैसा लगता है।
This fight is mine.,यह लड़ाई मेरी है।
This food is too salty.,यह खाना कुछ ज़्यादा ही नमकीन है।
This girl is really hot.,यह युवती अत्यंत आकर्षक है।
This gold is mine.,यह सोना मेरा है।
This government is corrupt.,यह सरकार भ्रष्ट है।
This guy can do amazing things.,यह बंदा कमाल कर सकता है।
This guy can do amazing things.,यह बंदा कमाल की चीज़ें कर सकता है।
This guy wants to be the boss.,यह बंदा बॉस बनना चाहता है।
This ink is the best.,यह स्याही सबसे अच्छी है।
This is a beautiful book.,यह खूबसूरत किताब है।
This is a beautiful book.,यह सुंदर पुस्तक है।
This is a beautiful country.,यह एक सुंदर देश है।
This is a big house.,यह एक बड़ा घर है।
This is a car and that is a bus.,यह एक गाड़ी है और वह एक बस है।
This is a coconut.,यह एक नारियल है।
This is a coconut.,यह नारियल है।
This is a flag.,यह एक झंडा है।
This is a gold mine.,यह सोने की खान है।
This is a good show.,यह अच्छा शो है।
"This is a house to let, not to be sold.","यह घर किराय वाला वाला है, बिकने वाला नहीं है।"
This is a large house.,यह एक बड़ा घर है।
This is all I have to say.,मुझे बस इतना ही कहना है।
This is a map.,यह नक्शा है।
This is an egg.,यह मुर्गी का अंडा है।
This is an important thing for all of you.,यह आप सब के लिए एक बहुत महत्वपूर्ण मामला है।
This is a picture of my sister.,यह मेरी बहन की तस्वीर है।
This is a plant unique to this country.,यह पौधा केवल इस देश में ही पाया जाता है।
This is as large as that.,यह उसके जितना बड़ा है।
This is a song.,यह गाना है।
This is a story of love and friendship.,यह कहानी है प्यार और दोस्ती की।
This is for you.,यह तुम्हारे लिए है।
This is gold.,यह सोना है।
This is how we make ice cream.,ऐसे हम आइस-क्रीम बनाते है।
This is Italy.,यह इटली है।
This is just like a dream.,यह तो बिलकुल किसी सपने की तरह है।
"This is mine, and that's yours.",यह मेरा है और वह तुम्हारा है।
This is my book.,यह मेरी किताब है।
This is my dick.,यह मेरा लंड है।
This is my father's house.,मेरे पापा का घर है।
This is my fiancé.,यह मेरा मंगेतर है।
This is my friend.,यह मेरा दोस्त है।
This is my friend.,यह मेरी दोस्त है।
This is my Japanese friend.,यह मेरा जापानी दोस्त है।
This is never going to end.,यह तो कभी खत्म न होगा।
This is not my Japanese friend.,यह मेरा जापानी दोस्त नहीं है।
This isn't a secret.,यह राज़ वाली बात नहीं है_
This isn't right.,यह सही नहीं है।
This isn't Spanish.,यह स्पेनी नहीं है।
This isn't your office.,यह आपका दफ्तर नहीं है।
This is the best ink.,यह सबसे अच्छी स्याही है।
This is the book about which I told you.,यह वह किताब है जिसके बारे में मैंने तुम्हें बताया था।
This is the first time I've ever worn a white coat.,यह मैं पहली बार सफ़ेद रंग का कोट पहन रहा हूं।
This is the first time I've ever worn a white coat.,यह मैं पहली बार सफ़ेद रंग का कोट पहन रही हूं।
This is the village where my father was born.,यह वह गाँव है जहाँ मेरे पिताजी पैदा हुए थे।
This is Tom speaking. I'd like to speak to Ann.,मैं टॉम बोल रहा हूँ। मुझे ऐन से बात करनी है।
This is what I need.,यह वही चीज़ है जिसकी मुझे ज़रूरत है।
"This is what we call ""tempura"".","इसी को हम ""तेम्पुरा"" कहते हैं।"
"This jacket isn't expensive, it's very cheap.","यह जैकेट महँगा नहीं, बल्कि बहुत सस्ता है।"
This laptop computer is very thin.,यह लैपटॉप कंप्यूटर बहुत पतला है।
This law does not apply in Japan.,यह कानून जापन में लागू नहीं होता।
This manga is pretty popular in China.,यह मान्गा चीन में बहुत लोकप्रिय है।
This medicine will clear up your cold.,यह दवाई तुम्हारा गला साफ़ कर देगी।
This medicine will take the pain away.,यह दवाई दर्द को दूर कर देगी।
This money is mine.,यह पैसा मेरा है।
This morning the weather was so bad that I had to take a taxi.,आज सुबह मौसम इतना खराब था कि मुझे टैक्सी लेनी पड़ी।
This mosque needs a new imam.,इस मस्जिद को एक नये इमाम की ज़रूरत है।
This museum has been closed for five years.,यह म्युज़ियम पाँच साल से बंद है।
This old table is still in use.,पुरानी मेज़ अभी भी इस्तेमाल में है।
This one or that one?,यह वाला या वह वाला?
This one's for me.,यह वाला मेरे लिये है।
This parrot has green feathers.,इस तोते के हरे पर हैं।
This phone has a quad-core processor.,इस फ़ोन में एक क्वाड-कोर प्रोसेसर है।
This picture is of my uncle.,यह तसवीर मेरे चाचा की है।
This place gives me the creeps.,इस जगह पर मुझे बेहद डर लगता है _
This place is ours.,यह जगा हमारी है।
This poem was originally written in French.,यह कविता सबसे पहले फ़्रानसीसी में लिखी गई थी।
This rite is part of their religion.,यह उनके धर्म की एक विधि है।
This screw is made in China.,यह स्क्रू चीन में बना है।
This silk feels smooth.,यह रेशम छूने में बहुत नर्म लगता है।
This song always reminds me of my childhood.,यह गाना हमेशा मुझे मेरे बचपन की याद दिलाता है।
This song is known to everyone.,यह गाना सभी को पता है।
This song is very popular in Japan.,यह गाना जापान में बहुत लोकप्रिय है।
This song makes me happy.,यह गाना सुन कर में ख़ुश हो जाता हूँ।
"This song's name is ""Only You"".","इस गाने का नाम हे ""बस आप""।"
This song was written by Foster.,यह गाना फ़ॉस्टर ने लिखा था।
This soup smacks of fish.,इस सूप में मछली का स्वाद है।
This stone is too heavy to lift.,यह पत्थर ज्यादा ब्जंदर है उठाने के लिए.
This story is worth reading.,यह कहानी पढ़ने लायक है।
This tea is called green tea.,इस चाय को हरी चाय कहते हैं।
This tea is good.,यह चाय अच्छी है।
This tea is good.,यह वाली चाय अच्छी है।
This theory is too difficult for me to comprehend.,यह सिद्धांत मेरे समझने से बाहर है।
This town is increasing in population.,इस नगर कि जनसंख्या बढ़ रही है।
This tree bears no fruit.,इस पेड़ पर फल नहीं लगते हैं।
This vampire works for a blood bank.,यह पिशाच एक रक्त बैंक के लिये काम करती है।
This was Rodica's fifth book.,यह रोडिका की पाँचवी किताब थी।
This watch was given me by my uncle.,यह घड़ी मुझे मेरे मामा ने दी थी।
This work isn't easy.,यह काम आसान नहीं है।
